KODE,NAMA_BAHAN,KATEGORI,SUMBER,AIR_g,ENERGI_kal,PROTEIN_g,LEMAK_g,KH_g,SERAT_g,ABU_g,KALSIUM_mg,FOSFOR_mg,BESI_mg,NATRIUM_mg,KALIUM_mg,TEMBAGA_mg,SENG_mg,RETINOL_mcg,BKAROTEN_mcg,KARTOTAL_mcg,THIAMIN_mg,RIBOFLAVIN_mg,NIASIN_mg,VIT_C_mg,BDD_pct
AP041,Cake tape,Serealia,KZGMI-2001,32.2,323,4.9,11.5,50.1,1.4,1.4,131,83,2.6,,,,,26,,1872,0.38,0.16,0.3,0,100
AP042,Cangkuning,Serealia,KZGMI-2001,57.5,204,2.8,7.5,31.4,,0.8,,,,,,,,,,,,,,,100
AP043,Dodol bali,Serealia,KZGPI- 1990,26.5,298,3.7,2.1,65.9,0.4,1.8,70,76,2.5,,,,,0,0,496,0.28,,2.5,0,100
AP044,Dodol galamai,Serealia,KZGMI-2001,16.5,348,0.4,3.8,76.1,0.5,1.2,41,144,2.6,38,76.0,0.30,2.1,0,0,0,0.03,0.06,1.8,0,100
AP045,Dodol kedondong,Serealia,KZGPI- 1990,26.4,331,1.9,7.6,63.8,1.0,0.4,90,55,2.3,,,,,0,,408,0.11,,0.8,5,100
AP046,Dodol manado,Serealia,KZGMI-2001,,373,,51.9,,,,2.4,,,,,,0,,,0.04,0.06,2.1,,100,
AP047,Emping beras,Serealia,KZGMI-2001,,403,,85.3,,,,0.3,,,,,,,,,0.00,0.16,,,100,
AP048,Gemblong,Serealia,KZGPI- 1990,,274,,55.5,,,,3.3,,,,,,0,,,0.00,,,,100,
AP049,Gendar goreng,Serealia,KZGPI- 1990,,407,,32.0,,,,1.6,,,,,,,,,0.16,0.00,0.6,,100,
AP050,Intip goreng,Serealia,KZGPI- 1990,,474,,62.3,,,,2.5,,,,,,0,,,0.25,0.03,0.8,,100,
AP051,Jagung gerontol,Serealia,KZGPI- 1990,,156,,33.3,,,,1.2,,,,,,,,,0.08,0.00,0.0,,100,
AP052,Jagung titi,Serealia,KZGPI- 1990,,374,,79.1,,,,2.9,,,,,,,,,0.20,,,,100,
AP053,Japilus,Serealia,KZGPI- 1990,,500,,67.3,,,,4.9,,,,,,,,,0.17,0.03,0.4,,100,
AP054,Kakicak,Serealia,KZGMI-2001,,296,,36.7,,,,,,,,,,,,,,,,,100,
AP055,Kambose,Serealia,KZGMI-2001,,164,,32.6,,,,0.7,,,,,,256,,,0.10,0.10,0.4,,100,
AP056,Kapusa,Serealia,KZGMI-2001,,158,,27.8,,,,1.2,,,,,,1374,,,0.06,0.05,0.1,,100,
AP057,Keddo bodong,Serealia,KZGMI-2001,,290,,55.2,,,,,,,,,,,,,,,,,100,
AP058,"Kelepon, kue",Serealia,KZGMI-2001,,215,,41.8,,,,3.3,,,,,,,,,0.09,0.07,0.2,,100,
AP059,Kereput,Serealia,KZGMI-2001,,580,,51.1,,,,,,,,,,,,,,,,,100,
AP060,Ketoprak,Serealia,KZGPI-1990,,153,,13.0,,,,3.4,,,,,,,,,0.05,,,,100,
AP061,Ketupat kandangan,Serealia,KZGMI-2001,,109,,13.4,,,,,,,,,,,,,,,,,100,
AP062,Koya,Serealia,KZGMI-2001,,366,,77.5,,,,7.0,,,,,,,,,,,,,100,
AP063,Koya mirasa,Serealia,KZGMI-2001,,370,,82.2,,,,17. 0,,,,,,,,,0.19,0.45,2.6,,100,
AP064,Koyabu,Serealia,KZGMI-2001,,241,,47.2,,,,,,,,,,,,,,,,,100,
AP065,Kue ali,Serealia,KZGMI-2001,,440,,64.5,,,,2.5,,,,,,,,,0.13,0.09,0.0,,100,
AP066,Kue bangen,Serealia,KZGMI-2001,,442,,74.2,,,,,,,,,,,,,,,,,100,
